strategy,ann_return,ann_vol,sharpe,sortino,max_drawdown,worst_month,ending_value,months
DEPENDENCY_LAYER,1.1755500482455177,0.3767404640634054,2.3002052650727807,5.9481819960995415,-0.1324634108904733,-0.11991980784371503,12400.457949131925,23
EQUAL_WEIGHT,1.1447348461853584,0.3958011660762572,2.1676273099401016,4.949907753483906,-0.15096620092035662,-0.12907932180459303,12145.040504133309,23
CAPPED_10,1.0020190930696362,0.39297897709210133,1.9951390766173838,4.729504429204965,-0.153315838686105,-0.14176422056441051,11612.26988755011,23
CURRENT_V08,0.9580100630143331,0.3795432796618754,1.9916372250263594,4.802259086733368,-0.14549050556886112,-0.13170064071258147,11362.40225668544,23
