ticker,target_weight,target_percent,layer
MU,0.1,10.0,memory
SGOV,0.08,8.0,defensive
RSP,0.07,7.000000000000001,defensive
TSM,0.05071428571428572,5.071428571428572,silicon_creation_enablement
SNPS,0.05071428571428572,5.071428571428572,silicon_creation_enablement
NVDA,0.05071428571428572,5.071428571428572,compute
QCOM,0.05071428571428572,5.071428571428572,compute
PLTR,0.05071428571428572,5.071428571428572,orchestration
ADBE,0.05071428571428572,5.071428571428572,orchestration
MP,0.03380952380952381,3.380952380952381,materials_fuel
FCX,0.03380952380952381,3.380952380952381,materials_fuel
LEU,0.03380952380952381,3.380952380952381,materials_fuel
VRT,0.03380952380952381,3.380952380952381,power_infrastructure
BE,0.03380952380952381,3.380952380952381,power_infrastructure
GEV,0.03380952380952381,3.380952380952381,power_infrastructure
AAOI,0.03380952380952381,3.380952380952381,networking_optics
LITE,0.03380952380952381,3.380952380952381,networking_optics
MRVL,0.03380952380952381,3.380952380952381,networking_optics
ORCL,0.03380952380952381,3.380952380952381,cloud_edge_execution
NBIS,0.03380952380952381,3.380952380952381,cloud_edge_execution
NET,0.03380952380952381,3.380952380952381,cloud_edge_execution
GLD,0.03,3.0,defensive
