strategy,ADBE_weight,TSM_weight,SNPS_weight,satellite_total,ann_return,ann_vol,sharpe,sortino,max_drawdown,worst_month,ending_value,months,return_gap_points_vs_v08,drawdown_change_points_vs_v08,vol_change_points_vs_v08,qualifies_within_5pts
SAT_A5_T5_S2,0.05,0.05,0.02,0.12000000000000001,0.9109477318758268,0.3466774659667297,2.0757127472989914,5.969991808224685,-0.1279327545081712,-0.1031621390608819,10414.731752579648,23,-19.0577492542388,0.5088138449019897,-3.5754146943384746,False
SAT_A5_T3_S3,0.05,0.03,0.03,0.11,0.909795268896179,0.3487093099931718,2.0635086455018588,6.05432228437705,-0.12728531676559163,-0.10358676233426478,10390.163230910539,23,-19.172995552203574,0.5735576191599479,-3.372230291694267,False
SAT_A3_T4_S5,0.03,0.04,0.05,0.12000000000000001,0.9062047274640959,0.3495922900798638,2.053686100756466,5.77298904151771,-0.12886273283101712,-0.10991233823410351,10354.89484725202,23,-19.532049695411892,0.4158160126173982,-3.283932283025065,False
SAT_A4_T4_S4,0.04,0.04,0.04,0.12,0.903671796309854,0.3475716908361141,2.0596621585140844,5.898429794208923,-0.12829021140025998,-0.10558650740555409,10345.561708972155,23,-19.78534281083608,0.47306815569311267,-3.485992207400035,False
SAT_A4_T2_S5,0.04,0.02,0.05,0.11,0.9017789868575141,0.35039062906640533,2.042512209600484,5.991242229640403,-0.12764130345133395,-0.10567693445234017,10315.677122075558,23,-19.974623756070066,0.5379589505857152,-3.2040983843709125,False
SAT_A5_T4_S3,0.05,0.04,0.03,0.12,0.9010776813137451,0.3463503387138542,2.0616048203899524,6.011046324937544,-0.12771937066994288,-0.103014841218655,10337.172765160953,23,-20.044754310446965,0.5301522287248228,-3.6081274196260282,False
SAT_A3_T5_S5,0.03,0.05,0.05,0.13,0.8996183152876447,0.34686557698773307,2.05691870277225,5.74508127943389,-0.12930099878528456,-0.10902894088493964,10321.66590070617,23,-20.190690913057008,0.3719894171906546,-3.556603592238139,False
SAT_A5_T2_S4,0.05,0.02,0.04,0.11000000000000001,0.8993990748740857,0.3492711641670126,2.044206967659664,6.096446611298491,-0.12707178883581194,-0.10343946685890204,10309.180343526048,23,-20.21261495441291,0.5949104121379167,-3.3160448743101867,False
SAT_A4_T5_S4,0.04,0.05,0.04,0.13,0.8960160145567682,0.3454071482227881,2.058427829838955,5.860048032989215,-0.1287270031137926,-0.10556668533419067,10302.374138248015,23,-20.55092098614466,0.4293889843398513,-3.702446468732634,False
SAT_A4_T3_S5,0.04,0.03,0.05,0.12000000000000001,0.8935302602383262,0.3476150693331761,2.0432345947928656,5.945447072142642,-0.12807695633122007,-0.10538787272106953,10266.647943692838,23,-20.799496417988863,0.4943936625971035,-3.481654357693836,False
SAT_A5_T5_S3,0.05,0.05,0.03,0.13,0.8931182949777461,0.34397001803768645,2.060969311833609,5.96655518819623,-0.12815468812985487,-0.10244292092311413,10290.74223688135,23,-20.840692944046868,0.486620482733624,-3.846159487242801,False
SAT_A5_T3_S4,0.05,0.03,0.04,0.12,0.8909585144391612,0.346381621175935,2.045198960011977,6.059285935755407,-0.12750596748999998,-0.10286754486849314,10258.382902232612,23,-21.056670997905357,0.5514925467191123,-3.6049991734179443,False
SAT_A4_T4_S5,0.04,0.04,0.05,0.13,0.8856337946808053,0.34521759599224583,2.0426101294715675,5.902103553853152,-0.12851387278311066,-0.10535437188963725,10220.739018589193,23,-21.589142973740948,0.4507020174080445,-3.721401691786863,False
SAT_A5_T4_S4,0.05,0.04,0.04,0.13,0.8831014312923346,0.34397467112436564,2.0446877095907747,6.0184513474831105,-0.12794140969577628,-0.10229562370296652,10212.840951600543,23,-21.84237931258801,0.507948326141483,-3.845694178574882,False
SAT_A5_T2_S5,0.05,0.02,0.05,0.12000000000000001,0.8809013621357735,0.34647367695549186,2.0285121474081933,6.1036944625059,-0.12729254498555231,-0.10272025001285856,10180.500539628925,23,-22.062386228244122,0.5728347971638792,-3.59579359546226,False
SAT_A4_T5_S5,0.04,0.05,0.05,0.14,0.8776880932456308,0.3428440879109387,2.0417377400413903,5.854111844783442,-0.12895205284875255,-0.10532905365369039,10174.561681208404,23,-22.383713117258395,0.4068840108438554,-3.958752499917578,False
SAT_A5_T5_S4,0.05,0.05,0.04,0.14,0.8752083075180039,0.3415912617224968,2.0439533694356293,5.972929250099803,-0.12837811549490963,-0.10186766691164884,10167.052585976879,23,-22.631691690021082,0.46427774622814777,-4.084035118761764,False
SAT_A5_T3_S5,0.05,0.03,0.05,0.13,0.8730277025263931,0.3440467820160037,2.027894007863654,6.06692190587245,-0.12772811194693645,-0.10214832797242179,10134.848850263508,23,-22.84975218918217,0.5292781010254655,-3.838483089411077,False
SAT_A5_T4_S5,0.05,0.04,0.05,0.14,0.8651353200229652,0.34162476971223366,2.0271735038670333,6.024666623215948,-0.12816494249760157,-0.10166675321465957,10089.105800434807,23,-23.638990439524953,0.4855950459589531,-4.08068431978808,False
SAT_A5_T5_S5,0.05,0.05,0.05,0.15000000000000002,0.8572638014595606,0.3392336057878585,2.026282944112825,5.977751011397052,-0.12860303952662466,-0.1016356854142143,10043.576596531633,23,-24.426142295865418,0.4417853430566443,-4.319800712225597,False
