strategy,ann_return,ann_vol,sharpe,sortino,max_drawdown,worst_month,ending_value,months,composite_score
DEPENDENCY_UNCAPPED,1.1755500729144166,0.3767404928921796,2.30020514730087,5.948181472236863,-0.13246341413181528,-0.11991980796068069,12400.457903413815,23,1.0
DEP_CAP_10_0,1.1536462184310383,0.3785126361937721,2.2626723528114105,5.7486083573249305,-0.1330287738063355,-0.12135697955958358,12239.578728255592,23,0.8333333333333334
DEP_CAP_8_5,1.1317286565308313,0.37969199029235196,2.228096372182012,5.526036089234672,-0.13352332408784373,-0.12274101213558464,12078.91774116958,23,0.6666666666666666
DEP_CAP_7_5,1.1167993866747916,0.38074971763646914,2.2032666865179342,5.391068157653027,-0.13653139810671355,-0.12361861029003485,11968.966306787437,23,0.5
DEP_CAP_6_5,1.1104324307097415,0.3834277770464889,2.1819116322900194,5.233488889509854,-0.14103538508342617,-0.1249787116972979,11916.911508118876,23,0.3333333333333333
CURRENT_V08,0.9580100961968476,0.37954329921869046,1.9916371890982112,4.802258344172804,-0.14549053414732827,-0.1317006407649446,11362.4022275772,23,0.16666666666666666
