strategy,ann_return,ann_vol,sharpe,sortino,max_drawdown,worst_month,ending_value,months
V08_SMART,0.9069472084064178,0.38328301422739114,1.9024605235935337,4.640292413311458,-0.1454904965252224,-0.13170178028205726,10809.422490661425,23
V08_PROPORTIONAL,0.9074003435241085,0.3836071605607397,1.9018128525232085,4.628330281097065,-0.14540771777654404,-0.13210474898188407,10808.511974241172,23
EQUAL_GROWTH_SMART,1.0870539645776223,0.3991700042921978,2.079492801982195,4.84778245207666,-0.1509662412581555,-0.12910996313349854,11531.780101479693,23
NO_DEFENSE_SMART,1.1261517108949426,0.4662844333536234,1.8771138150402893,4.344172232787085,-0.18005925152402735,-0.16428933509391042,12502.909320603658,23
SPY,0.19515894326907235,0.1211624472683838,1.5401409399183332,2.961260252431306,-0.07578993950540802,-0.055719310915217646,8723.387658553356,32
QQQ,0.22360107250740735,0.17303235571326128,1.2573693848938985,2.6204716645800508,-0.100845729979548,-0.07586179691979911,9190.774941873613,32
